n_files,total_mb,drizcorr,pctecorr,crsplit,subarray,detector,dtype,instr,mem_pred,wall_pred,bin_pred,wc_mean,wc_err,wc_std,x_mean,x_files,memory,wallclock,mem_bin
2,5,1,0,0,1,0,0,3,,,,,,,,,0.721844,51.0,0.0
2,7,1,0,0,0,0,0,3,,,,,,,,,1.011984,60.0,0.0
6,70,0,1,1,0,1,1,3,,,,,,,,,1.147252,1451.0,0.0
7,74,1,0,0,0,0,1,3,,,,,,,,,0.910436,134.0,0.0
2,2,0,0,1,0,0,0,2,,,,,,,,,0.700128,37.0,0.0
3,5,0,0,2,0,0,1,2,,,,,,,,,0.589116,43.0,0.0
7,60,1,0,0,0,0,1,3,,,,,,,,,1.10382,169.0,0.0
2,2,0,0,1,0,0,0,2,,,,,,,,,0.537776,39.0,0.0
2,0,0,0,1,1,0,0,2,,,,,,,,,0.687988,30.0,0.0
5,69,1,1,1,0,1,1,0,,,,,,,,,2.235768,4911.0,1.0
2,34,1,1,1,0,1,0,0,,,,,,,,,1.713508,1637.0,0.0
2,0,0,0,0,1,0,0,1,,,,,,,,,0.616072,59.0,0.0
2,2,0,0,1,0,0,0,2,,,,,,,,,0.691692,37.0,0.0
2,1,0,0,1,0,0,0,2,,,,,,,,,0.618588,53.0,0.0
5,69,1,1,1,0,1,1,0,,,,,,,,,2.233116,4798.0,1.0
5,70,1,1,1,0,1,1,3,,,,,,,,,2.250512,2360.0,1.0
10,48,0,0,0,0,0,1,1,,,,,,,,,1.657148,390.0,0.0
2,3,1,0,0,1,0,0,3,,,,,,,,,0.692076,44.0,0.0
5,4,1,0,0,1,0,1,3,,,,,,,,,0.69226,54.0,0.0
2,2,0,0,1,0,0,0,2,,,,,,,,,0.538604,36.0,0.0
2,0,0,0,1,1,0,0,2,,,,,,,,,0.61646,52.0,0.0
2,3,1,0,0,1,0,0,3,,,,,,,,,0.712648,43.0,0.0
3,7,0,0,2,0,0,1,2,,,,,,,,,0.600468,45.0,0.0
2,2,0,0,1,0,0,0,2,,,,,,,,,0.53658,33.0,0.0
5,70,1,1,1,0,1,1,3,,,,,,,,,2.220472,1985.0,1.0
